<1,+1.0>
<+139.0,+11.78982612255159596846918375135848942610804994310659548714592170956239189850313793>
<+140.0,+11.83215956619923208513465658312323409683100246158868064575943933828564491821130607>
<+141.0,+11.87434208703791723467291760041217847791452497369262534809090111245140465074076121>
<+142.0,+11.91637528781298495405212121297656771088435279707616385150031262942897304820872238>
<+143.0,+11.95826074310139802112984075619561661399108628513719791215803151415392495069736590>
<+144.0,+12.0>
<+145.0,+12.04159457879229548012824103037860805242535240505383395207243332452649315356580654>
<+146.0,+12.08304597359457206828283926680785569830608559362040622276021703239263281741428786>
<+147.0,+12.12435565298214105469212439054110656859963677667266439639064885616353111836160025>
<+148.0,+12.16552506059643937799936849040413412416994018957282237283830609297266545063782047>
<+149.0,+12.20655561573370295189785525662295413608712782038084240617663995032029069905822239>
<+150.0,+12.24744871391589049098642037352945695982973740328335064216346283625480188728657513>
<+151.0,+12.28820572744450759181216355464185137449874897899300758566925912107523038931604247>
<+152.0,+12.32882800593795290050038476290848845047124804688914908974914414491679930052732842>
<+153.0,+12.36931687685298164946422956792223107544159767612086130319590071928486303901286478>
<+154.0,+12.40967364599085659613324195544947569985593059072828138752265264190964283356494245>
<+155.0,+12.44989959798873237483597066678220624365800199166780943108319727735494886281220871>
<+156.0,+12.48999599679679641169378624187958892214591995598331261690594386121922240116702900>
<+157.0,+12.52996408614166778849536481575286586102163635431072966499133288558879615969046536>
<+158.0,+12.56980508997653471570255865361365123015518980295679978094215366266173278184369978>
<+159.0,+12.60952021291849153122862583453311229972810912589540937744746543817387990250819592>
<+160.0,+12.64911064067351732799557417773087413487822055730086730743001941117037775455695288>
<+161.0,+12.68857754044952038019377274608948979173952662752515253090272202190303096335795417>
<+162.0,+12.72792206135785543921519851788728270712704687839253265859011764191659230615896334>
<+163.0,+12.76714533480370466171095200978089234738236378030125885121260298384872617289023925>
<+164.0,+12.80624847486569737297643534924362652904084026524203777105854525333636551639375214>
<+165.0,+12.84523257866512902011689847763994041946735251156026387028647123425851970477782341>
<+166.0,+12.88409872672512549464432724717918386031342456480061036670440269346500101011714657>
<+167.0,+12.92284798332008546884481080460584094962493765615290788628997406444151515065887740>
<+168.0,+12.96148139681572046193193487217599331541040861411669309942270879561923475568808874>
<+169.0,+13.0>
<+170.0,+13.03840481040529742916594311485836883305618755782013091790079369896765385576397896>
<+171.0,+13.07669683062202065671094595157884697741101177569733481067103241447867198460947425>
<+172.0,+13.11487704860400130468821999527200325585393263976757953973092021117131970697715127>
<+173.0,+13.15294643796590543996248719312909318009910897272938570905621154602108285151976769>
<+174.0,+13.19090595827291917093680773272233973428628038705151554488153991858476661392490925>
<+175.0,+13.22875655532295295250807876819630212855129591541225090184167229600534411615141813>
<+176.0,+13.26649916142159939645973094668274673570835418235741438823472858446593857043617538>
<+177.0,+13.30413469565007072504603081412346328494454261573610632957307864334070987700849319>
<+178.0,+13.34166406412633371248943627250846646911846482744007727141318328685818475226047160>
<+179.0,+13.37908816025965201502688135478630705798140462917532885132112486337761360289623950>
<+180.0,+13.41640786499873817845504201238765741264371015766915434562538347246312555382682939>
<+181.0,+13.45362404707371031716308546217040419387096238552012027520048728331803871842638841>
<+182.0,+13.49073756323204146555030561149554497245536810021751135441929950796000144047353091>
<+183.0,+13.52774925846868289742587481738126132942548659165656382356912027560947938737122696>
<+184.0,+13.56465996625053627812911265325193821039149664784657646550043916416145652797422517>
<+185.0,+13.60147050873544334502993737205738815299375546031776533244133798404437373029015785>
<+186.0,+13.63818169698585589275859755192959223510008444478875692979327822293872563372396537>
<+187.0,+13.67479433117734315857216490534828095518982459686393336545793553707545245561651627>
<+188.0,+13.71130920080208824987174289816969792092128692200265255097021637135703423027363399>
<+189.0,+13.74772708486752001976414158118402546695336973030391570782172637172060527664331265>
<+190.0,+13.78404875209022176795591255293417542719816355839900147906421201798069402648527715>
<+191.0,+13.82027496108525331390448056775345600521918981808841825670519228353582165718613545>
<+192.0,+13.85640646055101834821957073204697893554244203048304502444645583561546413527040029>
<+193.0,+13.89244398944980450843254704102855442931739336232773132747640831601005961853779595>
<+194.0,+13.92838827718411933846773892851329370619439640611280606924027394014595019546623156>
<+195.0,+13.96424004376894116988392454108637602064017972392484401020358665726159025113189426>
<+196.0,+14.0>
<+197.0,+14.03566884761819963051946138640704570856344294367413459927122615913606173750756372>
<+198.0,+14.07124727947028866369689034063339884176468506023521146081710567305107389825971916>
<+199.0,+14.10673597966588442523216369087732647793870812920384187118729296381470154724202917>
<+200.0,+14.14213562373095048801688724209698078569671875376948073176679737990732478462107038>
<+201.0,+14.17744687875782520295561854270857792611228452429592547818383862066725191568028235>
<+202.0,+14.21267040355189549697092948762808268018998550547859862279066083256028786695850347>
<+203.0,+14.24780684877500716885768958061253992055371187627003023360353238146631561551401983>
<+204.0,+14.28285685708569999599879962273453055753234231980546766641686176553164081288004377>
<+205.0,+14.31782106327635315443960123103374203379684450295708215796034650507719100981821017>
<+206.0,+14.35270009440732374700429964147226809945386920711920271780280430074731038834004166>
<+207.0,+14.38749456993815862479231419248808175999012112571238803945592734334477170772239224>
<+208.0,+14.42220510185595717247688506988198378500518629538098485084181222490866779317204178>
<+209.0,+14.45683229480096030348812949272759280090342422926999516309349406590707742638136986>
<+210.0,+14.49137674618943857371866415716977172314013287475897308869592480711814437265368042>
<+211.0,+14.52583904633395006832875784543727547117877155543121095414178003603523037272145070>
<+212.0,+14.56021977856103654219460498305406558755533936515295487675636358256823147724981036>
<+213.0,+14.59451951932642419733274972652409626978155820463190468047497595810722518525517490>
<+214.0,+14.62873883832779345718375423804348055574716958265243206511791779635544216002404382>
<+215.0,+14.66287829861518014502249104697472907047929938670011456225173102825303181270043371>
<+216.0,+14.69693845669906858918370444823534835179568488394002077059615540350576226474389015>
<+217.0,+14.73091986265623535857537459035005405201165033493198550981091323765757387837151219>
<+218.0,+14.76482306023340057554152376585733650701982122478607789585775704546129976998912350>
<+219.0,+14.79864858694874205708434302938583777222097433701516677138898951965173809105595490>
<+220.0,+14.83239697419132589742279488160142612195980863819500319746524652868766036862770048>
<+221.0,+14.86606874731850552261200821393139665144898551372086156056309481025183731478116765>
<+222.0,+14.89966442575133971933181604612395114023452166218124733805740301192893507470224563>
<+223.0,+14.93318452306807866292229051349460490246168000547787092559647058322987136028466263>
<+224.0,+14.96662954709576554233499492926619720702407923111490778521498186928014062522775611>
<+225.0,+15.0>
<+226.0,+15.03329637837290827087893056309935560520605828740967370077329247005905084185570408>
<+227.0,+15.06651917331936361545749870732673426946467369181746709908227070952858954466374691>
<+228.0,+15.09966887054149939447336961389223411644438940924676027659725381142144390783562239>
<+229.0,+15.13274595042155592719186204934106521172487548385197018228690299298281110351701677>
<+230.0,+15.16575088810310110851365087256414310909928427903492450645242003558446677365084993>
<+231.0,+15.19868415357066363166874420603964503758232646170223631679656238520364388205543691>
<+232.0,+15.23154621172781657132282205431664601072141118509319693790096848104070431474600248>
<+233.0,+15.26433752247374802525594870060047958732869347860982652796614513309734907474971638>
<+234.0,+15.29705854077835449008467232706834596869131283829878922275491241327780089618667258>
<+235.0,+15.32970971675589165655368199157204871069327325955646958566479407084794931466651697>
<+236.0,+15.36229149573721635153937404346274494612490215522976785604947296787108331598541970>
<+237.0,+15.39480431834065242594933371743214754216090951895906561240355771234484805374690932>
<+238.0,+15.42724862054151248907878053708878724188041190848105319612040810860645448333428522>
<+239.0,+15.45962483374030651965084288332815250083472798967737061148056266847167584232449216>
<+240.0,+15.49193338482966754071706159912959844333168682116636330635029506445393236774791613>
<+241.0,+15.52417469626002372886246176717298070295242272677067792568681057446257008496186656>
<+242.0,+15.55634918610404553681857596630667886426639062914642880494347711789805726308317742>
<+243.0,+15.58845726811989564174701707355285130248524728429342565250226281506739715217920033>
<+244.0,+15.62049935181330878825944547151820282713661027329712660035448752038157117787345410>
<+245.0,+15.65247584249852787486421568111893364808432851728068006989628071787364647946463429>
<+246.0,+15.68438714135812193418465647526367190989091013592954973816078748510058749274161283>
<+247.0,+15.71623364550171098021838698912802734994218022229482471207968148533880866643634377>
<+248.0,+15.74801574802362203937006889762401572736217224404170758919768510062752169363539611>
<+249.0,+15.77973383805950004528829428994234126094222596663559145184501354571250459619142559>
<+250.0,+15.81138830084189665999446772216359266859777569662608413428752426396297219319619110>
<+251.0,+15.84297951775485948475679605204758481885069730270981349561974588831565424062709152>
<+252.0,+15.87450786638754354300969452183556255426155509849470108221000675520641293938170176>
<+253.0,+15.90597372058686635374547783054055893659369390435444347398105096539868164472011533>
<+254.0,+15.93737745050922736663116074624542111835769239879158409589830156503888414484386572>
<+255.0,+15.96871942267131199907024517698061384156734970437542667323683764606239452587634292>
<+256.0,+16.0>
<+257.0,+16.03121954188139736487135475768848220809758814416754730806542390443614098505259742>
<+258.0,+16.06237840420901054050265153353433564964952441393394111283600922636126516379652499>
<+259.0,+16.09347693943108118684999126683571665310238987264330512239034194916865779367120578>
<+260.0,+16.12451549659709930473322646060754226226879261121714677587318477852774990205137640>
<+261.0,+16.15549442140351209375213147462098866888536048493436651304116601004993788848297607>
<+262.0,+16.18641405623864547259247030899044228992442126384182560676893361852261887348195960>
<+263.0,+16.21727474022685477424268317327043388459883027910847902171205134697333514323859466>
<+264.0,+16.24807680927192072091976713653208069700840817345062565530315118906583360568134538>
<+265.0,+16.27882059609970638735301590998383315400840631338401601380446294058352145554446517>
<+266.0,+16.30950643030009047612576788769623759648671432759436480713007824910466767251567396>
<+267.0,+16.34013463836819185467058067573048347605184410006845691484459837628867775497912832>
<+268.0,+16.37070554374489993990740744946785891776097363099607992613343040544733522892219589>
<+269.0,+16.40121946685672516307471322739248461036239428881248687191256555964045021491676102>
<+270.0,+16.43167672515498340370909348402406401858234084993949762680683349197479831368168201>
<+271.0,+16.46207763315432794767018162817844821182186263296002723358137852103741009661385430>
<+272.0,+16.49242250247064219928563942389630810058879690149448173759453429237981738535048637>
<+273.0,+16.52271164185830606181742631261622041283837983579503062041494611259667703041888824>
<+274.0,+16.55294535724684859324697720537554688188411418711202428891430893671254098578538638>
<+275.0,+16.58312395177699924557466368335343341963544272794676798529341073058242321304521923>
<+276.0,+16.61324772583614970516852548981498402046442849791131155886437673807517006684630314>
<+277.0,+16.64331697709323806892821478534598654806924633860120865252471652674902470945099348>
<+278.0,+16.67333200053306681591045628341638874916471542752670788533646175473589241989549478>
<+279.0,+16.70329308849006576635841389675564856142918013271124291190529775681076951776270887>
<+280.0,+16.73320053068151095956344051570374978785630738597344399622383086160837545188634019>
<+281.0,+16.76305461424021012844569555651607275860068498754639507225551358632379205853526706>
<+282.0,+16.79285562374666520195933477168867057727044379484177151621116830480000895388729358>
<+283.0,+16.82260384126072202620479054129120142888990187952346480108285272263778467794883182>
<+284.0,+16.85229954635271726126827981240547206321600480312150002733562225865445100551040611>
<+285.0,+16.88194301613413218311688940952210998884847715762485395264980372793259615029780822>
<+286.0,+16.91153452528776289817251792277659537466307987161052617133610770806661364435679476>
<+287.0,+16.94107434609741626229182567073072598815919208260102609876268966755910028633719911>
<+288.0,+16.97056274847714058562026469051637694283606250452337687812015685588878974154528446>
<+289.0,+17.0>
<+290.0,+17.02938636592640116613332182387732270638971519097842162730269696246577823005532519>
<+291.0,+17.05872210923198080337947853802110997618435938473403511663881424090553053608688915>
<+292.0,+17.08800749063506233574329665247941286918891065906656448381730250754329763865459676>
<+293.0,+17.11724276862368976315295229442930964074209947828008451365495624783805559174582288>
<+294.0,+17.14642819948224668738098852294123974376163236459669089902884797075672264220120518>
<+295.0,+17.17556403731766824680085139043211246158705048048224253969867325674968488379789671>
<+296.0,+17.20465053408525354345894707009942726405507111458147123901609128247485386932603402>
<+297.0,+17.23368793961408597955183440465678795466079337394837710309963241169770216437221388>
<+298.0,+17.26267650163206875820607399925752195970042362587800385300856953866095769706063891>
<+299.0,+17.29161646579058264534480521977271400026873289472117375212712699673079810199726910>
<+300.0,+17.32050807568877293527446341505872366942805253810380628055806979451933016908800037>
<+301.0,+17.34935157289747241232499427699981695490434594980505618030106201868846265479117459>
<+302.0,+17.37814719698276695431882130530145003720958046273365756696749985196374796880843114>
<+303.0,+17.40689518552921028072244167071365273122353204165023315411257063351973621453469515>
<+304.0,+17.43559577416269420894792793543846263654801570092977974756137655263822931281263234>
<+305.0,+17.46424919657298064632104363093690475274755419969831151775507600983581884805922391>
<+306.0,+17.49285568453590141262245863263674922956419500465791586335002023460343018599013788>
<+307.0,+17.52141546793523185874596273479217795225535245102902272429669428436873377078744687>
<+308.0,+17.54992877478424412081277661483261912175175365510900718185539125956552929243861256>
<+309.0,+17.57839583124694572594697130439298398523667319044230399987118453698564757199158617>
<+310.0,+17.60681686165900914576922817649657928615522868051759683395736527326751716310549320>
<+311.0,+17.63519208854839777642288360762919173267923631750352274291568362470066805345963933>
<+312.0,+17.66352173265569370952808545391850792834927896186283565242040594511427987647088568>
<+313.0,+17.69180601295413254679003517108980047709029024879081867344546269467061061516948369>
<+314.0,+17.72004514666935040199112509753631525073608516162942966817771970290992972348902551>
<+315.0,+17.74823934929884812770198487468485114524650369238302096863915900742846737731695911>
<+316.0,+17.77638883463117770018288335081745563415290120745905259670944023275220119925719919>
<+317.0,+17.80449381476485559454655878147423613356258057758925446710689286567403854827808417>
<+318.0,+17.83255450012700788325037416814265895906360309912871898851249554753582817803209469>
<+319.0,+17.86057109949175169431568970545877527622681849696903804093002404034645048742006816>
<+320.0,+17.88854381999831757127338934985020988352494687689220579416717796328416740510243919>
<+321.0,+17.91647286716891718464631510065209205694338132370342145402790492094063050722236921>
<+322.0,+17.94435844492636075474345489372991753116604212289138584235050355852754438225485485>
<+323.0,+17.97220075561142845760032673419901616976638598195453222686629524904424975078242640>
<+324.0,+18.0>
<+325.0,+18.02775637731994646559610633735247973125648286922623106355226528113583474146505222>
<+326.0,+18.05547008526778845218109117276074663459304433202367036108199613372132959091965629>
<+327.0,+18.08314132002512444004942855698791283544448067235022258835161859978043669113144626>
<+328.0,+18.11077027627483325314761633396813282610424892819388055316348246003731596153211846>
<+329.0,+18.13835714721705439823295170305998306552708146263531898237923907504841348770368669>
<+330.0,+18.16590212458494999253519685830916219516841500086007699383330162263604460109094773>
<+331.0,+18.19340539866025191738444620915026571260550188715845606147534453447338062022865970>
<+332.0,+18.22086715828859776389125220937733838019827833652991170499387693013204238856681133>
<+333.0,+18.24828759089465906699905273560620118625491028435923355925745913945899817595673071>
<+334.0,+18.27566688249706525603307191346421852190919965236413689666338000313068813432339878>
<+335.0,+18.30300521772312668320420901620830477015919569211754334370450289980289053486435449>
<+336.0,+18.33030277982336002635218877491203395593782630707188761042896849562747370219108354>
<+337.0,+18.35755975068581929849171951870717255122900825698319984014631212252976448514766402>
<+338.0,+18.38477631085023563442195341472607502140573437990032495129683659387952222000739150>
<+339.0,+18.41195263952196896373755516917215612485912208006342252282496861461289919823950294>
<+340.0,+18.43908891458577462000454856352558631449361009744492801601550441088534205360375092>
<+341.0,+18.46618531261938787760217725083228792989316146506029299919550634466585560212486388>
<+342.0,+18.49324200890692935075057714436273267570687207033372363462371621737519895079099263>
<+343.0,+18.52025917745213413351131027547482297997181428157715126257834121440748176261198539>
<+344.0,+18.54723699099140750503283214798034925252693782415259642674765319665647367292768604>
<+345.0,+18.57417562100670997098568768228105070175145053425369860417157075098667097437230188>
<+346.0,+18.60107523773827435996341352171212155281719793363980372238697518722227539585550202>
<+347.0,+18.62793601019715764258632776095653449257467037397870897846656159673727933051328097>
<+348.0,+18.65475810617763009110895108464111396655248138838330934211239459689356909761449935>
<+349.0,+18.68154169226940434847081948468305817121382945620971374822336929672739765420738762>
<+350.0,+18.70828693386970692791874366158274650878009903889363473151872733660017578153469513>
<+351.0,+18.73499399519519461754067936281938338321887993397496892535891579182883360175054350>
<+352.0,+18.76166303929371821826252045417786512235291341364694861442280756406809853101295888>
<+353.0,+18.78829422805593599904520483869896352475232898914220248367653239012663471132880443>
<+354.0,+18.81488772222677920915707315083743162156434863586761564415879042932987466116857327>
<+355.0,+18.84144368141677194446261129755911653817250395543873348415045329862802338372142738>
<+356.0,+18.86796226411320762264132075524528143396724526683024264132596289796004581917023611>
<+357.0,+18.89444362769118428110786795303473583916464515186309492656448359843433760664848352>
<+358.0,+18.92088792842450087112581408580111708647954962253626977011453537495944797653767075>
<+359.0,+18.94729532149641668217162556775196936526893718864068024992626043866101981267100105>
<+360.0,+18.97366596101027599199336126659631120231733083595130096114502911675556663183542932>
<+361.0,+19.0>
<+362.0,+19.02629759044044806459389573498191803091276052390721205818007982825360789267358627>
<+363.0,+19.05255888325765022880190975656459603637085779191418690861387677397126318599680040>
<+364.0,+19.07878402833891298305243172046453080509246850501091507816303705820725104611301443>
<+365.0,+19.10497317454280017916829575249669141539647233176799736525808213487000107492655212>
<+366.0,+19.13112646970899097558250875301718655104368451978518108367265963454237547841308743>
<+367.0,+19.15724406066801666041816230171793733549067920491728575845368181847683857017950608>
<+368.0,+19.18332609325087816638975225665077567998682816761651738594123645779302894362985632>
<+369.0,+19.20937271229854605946465302386543979356126039786305665658781788000454827459062822>
<+370.0,+19.23538406167134475185536292121337387378186709111961457232331893010843913849457032>
<+371.0,+19.26136028425822265918042263484524806923912673677000027428594968317654302861452291>
<+372.0,+19.28730152198590999152006209486532636781380738612650481460035377546257283733729944>
<+373.0,+19.31320791582796583858747508777420364526088334376486537477450601674294184819921826>
<+374.0,+19.33907960581371618032433932829551448762977518340132243957057265009119066778086197>
<+375.0,+19.36491673103708442589632699891199805416460852645795413293786883056741545968489516>
<+376.0,+19.39071942966531605629776230169062678730430197590935918107943497246607973514660145>
<+377.0,+19.41648783894759891856148511263886343401178155540959543230439445770137018768429847>
<+378.0,+19.44222209522358069289790230826398997311561292117503964913406319342885213353213311>
<+379.0,+19.46792233393178502794399289382298082702114632404207034321640549174257936573836845>
<+380.0,+19.49358868961792781367682639979920059850516780067498206398350001144016354492049871>
<+381.0,+19.51922129594313503642539896474560824348601688922214768471275147617728601465017212>
